chrom	dataset	vcf_size	pgen_size	psam_size	pvar_size
1	common	40.726404879	22.545716631	0.003796897	0.040193662
1	all	186.308469062	30.678072564	0.003796897	2.459173055
2	common	43.806120949	24.350334166	0.003796897	0.043231672
2	all	203.859709204	33.018651951	0.003796897	2.725622642
3	common	37.775977049	20.947823436	0.003796897	0.036631761
3	all	171.46672997	28.373745208	0.003796897	2.261449391
4	common	38.718136921	21.176530028	0.003796897	0.03748083
4	all	167.48245304	28.971483526	0.003796897	2.174537383
5	common	34.2358827	19.000238148	0.003796897	0.033309751
5	all	154.003785734	25.716215254	0.003796897	2.028154435
6	common	35.789213752	19.845711676	0.003796897	0.034501731
6	all	148.415618274	26.593967242	0.003796897	1.904743852
7	common	31.129082788	17.304897572	0.003796897	0.030095211
7	all	136.22447759	23.356112931	0.003796897	1.771670696
8	common	28.439597861	15.79505986	0.003796897	0.027596342
8	all	131.436572568	21.480367346	0.003796897	1.725858189
9	common	22.539413381	12.649610001	0.003796897	0.021964922
9	all	102.394847822	16.953500856	0.003796897	1.333966853
10	common	26.989116356	14.973071415	0.003796897	0.027079142
10	all	114.981122343	20.212782669	0.003796897	1.540574968
11	common	26.197218736	14.496509599	0.003796897	0.026063605
11	all	116.725648404	19.643531535	0.003796897	1.575911141
12	common	25.494480979	14.234604579	0.003796897	0.02581104
12	all	112.224601559	19.104716003	0.003796897	1.520158713
13	common	19.688227319	10.92055588	0.003796897	0.019698862
13	all	83.862777251	14.701124447	0.003796897	1.123604575
14	common	17.275770776	9.668250236	0.003796897	0.017521432
14	all	76.051951616	12.93745668	0.003796897	1.021305917
15	common	14.952136764	8.323485034	0.003796897	0.015011143
15	all	68.802294551	11.277775562	0.003796897	0.926705806
16	common	15.566477775	8.754755772	0.003796897	0.015613948
16	all	74.797431755	11.827338649	0.003796897	1.016849404
17	common	14.374585763	7.938602566	0.003796897	0.014336852
17	all	65.912662179	10.85617861	0.003796897	0.887849041
18	common	15.164724101	8.41870494	0.003796897	0.015041425
18	all	65.377126399	11.362137359	0.003796897	0.868798264
19	common	12.082635876	6.6576715	0.003796897	0.012110055
19	all	51.07278264	9.034304962	0.003796897	0.669050861
20	common	11.978947244	6.641082302	0.003796897	0.011915674
20	all	53.829248258	9.0069204	0.003796897	0.71415158
21	common	7.334459806	4.029631812	0.003796897	0.007238263
21	all	30.694268145	5.497758339	0.003796897	0.404708893
22	common	7.320946477	4.086053977	0.003796897	0.007386804
22	all	31.200362721	5.494396163	0.003796897	0.412718268
